,EP-EN,CP-EN,MIXED-EN,EP-LN,CP-LN,MIXED-LN
HadGEM3-GC31-HH_CTRL,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.6,0.2,0.2
HadGEM3-GC31-HH_HIST-FUT,0.9090909090909091,0.09090909090909091,0.0,0.75,0.16666666666666666,0.08333333333333333
EC-Earth3P-HR_CTRL,0.9,0.0,0.1,0.7272727272727273,0.2727272727272727,0.0
EC-Earth3P-HR_HIST-FUT,1.0,0.0,0.0,0.8,0.2,0.0
CNRM-CM6-1-HR_CTRL,0.7777777777777778,0.2222222222222222,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
CNRM-CM6-1-HR_HIST-FUT,0.8,0.0,0.2,0.8333333333333334,0.08333333333333333,0.08333333333333333
CMCC-CM2-VHR4_CTRL,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.18181818181818182,0.7272727272727273,0.09090909090909091
CMCC-CM2-VHR4_HIST-FUT,0.0,0.9285714285714286,0.07142857142857142,0.07692307692307693,0.8461538461538461,0.07692307692307693
MPI-ESM1-2-HR_CTRL,0.6,0.2,0.2,0.6428571428571429,0.14285714285714285,0.21428571428571427
MPI-ESM1-2-HR_HIST-FUT,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.4444444444444444,0.1111111111111111,0.4444444444444444
MPI-ESM1-2-XR_CTRL,1.0,0.0,0.0,0.875,0.0,0.125
MPI-ESM1-2-XR_HIST-FUT,0.0,0.8888888888888888,0.1111111111111111,0.2,0.8,0.0
NPD_eORCA025_ERA5,0.8461538461538461,0.0,0.15384615384615385,0.7142857142857143,0.21428571428571427,0.07142857142857142
NPD_eORCA025_JRA55,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.6666666666666666,0.08333333333333333,0.25
EN4,0.7692307692307693,0.07692307692307693,0.15384615384615385,0.7142857142857143,0.07142857142857142,0.21428571428571427
ORAS5,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.6923076923076923,0.23076923076923078,0.07692307692307693
