DATASET,PSD_PEAK_T,EN_MEAN_DUR,LN_MEAN_DUR,EN_MEAN_MAX_INTENSITY,LN_MEAN_MAX_INTENSITY,STD_ONI,ASYMMETRY_RATIO
HadGEM3-GC31-HH_CTRL,2.86,11.27,12.0,1.35,1.34,0.78,1.01
HadGEM3-GC31-HH_HIST-FUT,4.0,12.18,10.5,1.13,1.05,0.66,1.08
EC-Earth3P-HR_CTRL,4.0,10.0,10.0,1.55,1.03,0.68,1.5
EC-Earth3P-HR_HIST-FUT,4.0,11.77,11.13,1.78,1.47,1.01,1.21
CNRM-CM6-1-HR_CTRL,2.86,7.44,8.83,0.94,1.07,0.49,0.88
CNRM-CM6-1-HR_HIST-FUT,3.33,9.5,10.58,1.33,1.1,0.65,1.2
CMCC-CM2-VHR4_CTRL,3.33,15.07,15.18,1.77,1.92,1.2,0.92
CMCC-CM2-VHR4_HIST-FUT,3.33,14.57,15.23,1.91,1.89,1.29,1.01
MPI-ESM1-2-HR_CTRL,5.0,15.0,12.79,1.62,1.38,0.94,1.17
MPI-ESM1-2-HR_HIST-FUT,4.0,10.23,16.11,1.37,1.6,0.87,0.86
MPI-ESM1-2-XR_CTRL,20.0,10.0,10.0,1.04,1.1,0.57,0.95
MPI-ESM1-2-XR_HIST-FUT,6.67,11.78,17.4,1.1,1.28,0.61,0.86
NPD_eORCA025_ERA5,4.0,10.08,11.86,1.67,1.3,0.93,1.29
NPD_eORCA025_JRA55,4.0,10.73,12.17,1.75,1.36,0.89,1.28
EN4,4.0,11.69,9.79,1.59,1.27,0.87,1.25
ORAS5,4.0,10.5,11.15,1.64,1.31,0.88,1.26
